vote,TRIAL: ,KNN,K Value: ,0,97.5,97.51128304319793
vote,TRIAL: ,EDITED KNN,K Value: ,0,90.0,90.07672634271098
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,67.5,59.84469370146679
vote,TRIAL: ,KNN,K Value: ,0,95.0,95.0
vote,TRIAL: ,EDITED KNN,K Value: ,0,92.5,92.45556287030942
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,67.5,62.01775625504439
vote,TRIAL: ,KNN,K Value: ,0,92.3076923076923,92.25355924863314
vote,TRIAL: ,EDITED KNN,K Value: ,0,82.05128205128204,82.26884226884226
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,79.48717948717949,77.22277722277721
vote,TRIAL: ,KNN,K Value: ,0,97.43589743589743,97.44997624201469
vote,TRIAL: ,EDITED KNN,K Value: ,0,94.87179487179486,94.92056856187293
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,94.87179487179486,94.79120879120879
vote,TRIAL: ,KNN,K Value: ,0,94.87179487179486,94.92056856187293
vote,TRIAL: ,EDITED KNN,K Value: ,0,94.87179487179486,94.92056856187293
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,92.3076923076923,92.34992872604403
vote,TRIAL: ,KNN,K Value: ,0,97.5,97.51128304319793
vote,TRIAL: ,EDITED KNN,K Value: ,0,92.5,92.45556287030942
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,95.0,95.0
vote,TRIAL: ,KNN,K Value: ,0,92.10526315789474,92.14487832484437
vote,TRIAL: ,EDITED KNN,K Value: ,0,92.10526315789474,92.14487832484437
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,73.68421052631578,69.45488721804513
vote,TRIAL: ,KNN,K Value: ,0,94.73684210526315,94.7816985645933
vote,TRIAL: ,EDITED KNN,K Value: ,0,92.10526315789474,92.18871703571826
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,92.10526315789474,92.18871703571826
vote,TRIAL: ,KNN,K Value: ,0,97.43589743589743,97.45394178891715
vote,TRIAL: ,EDITED KNN,K Value: ,0,92.3076923076923,92.36182536675148
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,94.87179487179486,94.87179487179486
vote,TRIAL: ,KNN,K Value: ,0,94.87179487179486,94.92056856187293
vote,TRIAL: ,EDITED KNN,K Value: ,0,92.3076923076923,92.40093240093239
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,97.43589743589743,97.44997624201469
vote,TRIAL: ,KNN,K Value: ,0,100.0,100.0
vote,TRIAL: ,EDITED KNN,K Value: ,0,97.43589743589743,97.44997624201469
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,74.35897435897436,71.52847152847154
vote,TRIAL: ,KNN,K Value: ,0,97.43589743589743,97.44997624201469
vote,TRIAL: ,EDITED KNN,K Value: ,0,94.87179487179486,94.92056856187293
