,Dataset,F1,ZeroOne
0,Vote,0.9086981622842201,90.79809725158563
1,Iris,0.9152732365673542,91.33333333333333
2,Glass,0.6424478717515789,62.229437229437224
3,Cancer,0.9801575259052517,97.99999999999999
4,Soybean,0.758095238095238,79.5
5,Vote_Noise,0.9136656642273939,91.28435517970402
6,Iris_Noise,0.34473389573389573,33.99999999999999
7,Glass_Noise,0.6291351248343326,61.62337662337662
8,Cancer_Noise,0.9771563161901387,97.69230769230768
9,Soybean_Noise,0.743595238095238,77.0
